question,answer
"سامانه نماد چیست ؟ ","بانک مرکزی ج.ا.ا به منظور تضمین امنیت، محرمانگی، صحت، دقت و انکارناپذیری داده ها در نظام بانکی اقدام به ایجاد سامانه نماد نموده است. این سامانه همچنین دارای قابلیت ایجاد هویت دیجیتال امن برای اشخاص در استفاده از خدمات بانکداری مجازی و بستر پیاده سازی گواهی امضاء دیجیتال می باشد. این سامانه به مشتریان بانک ها این امکان را می دهد که صرف نظر از بانک ارائه دهنده خدمت، از یک گواهی امضاء دیجیتال استفاده نمایند. "
"توکن امضای دیجیتال همراه  (  توکن همراه ) چیست ؟"," توکن همراه (توکن امضای دیجیتال همراه) یک ماژول رمزنگاری است که از امکانات گوشی تلفن همراه جهت تولید و نگهداری زوج کلید خصوصی و عمومی و انجام عملیات امضای دیجیتال و رمزگشایی استفاده می نماید. با استفاده از این محصول نیاز به حمل و نگهداری ماژول سخت افزاری مازاد نیست.  تنها با  گوشی تلفن همراه قادر خواهید بود عملیات امضای دیجیتال و رمزگشایی را به منظور حفظ محرمانگی، جامعیت داده و انکار ناپذیری در تعاملات الکترونیکی و با اطمینان از محفوظ ماندن کلید خصوصی خود انجام دهید"
"نرم افزار امضاء الکترونیک تجارت چیست؟","نرم افزاری جهت امضاء برای دریافت گواهی امضاء الکترونیک ( از طریق احراز هویت ) مشتریان بانک تجارت می باشد. امضای الکترونیک همانند امضای کاغذی نبوده و صرفا از طریق اختصاص کد( رمز کاربری )  صورت  می گیرد . "
"مزایای امضاء الکترونیک  تجارت چیست ؟ ","1) صرفه جویی در زمان 2) عدم لزوم مراجعه حضوری به شعب بانک "
"نرم افزار امضاء الکترونیک  از کجا دانلود نمایم ؟","https://mybajet.ir"
"در صورتیکه مشتری  بخواهد رمز کاربری خود را تغییر دهد چه کاری باید انجام دهد ؟"," در صورت تعریف امضای دیجیتال وارد  برنامه امضای تجارت میشود و مراحل زیر را طی می کند:   عملیات رمز -> -> تغییر رمز کاربری "
"در صورتیکه مشتری فقط رمز کاربری خود را فراموش کرده باشد اما رمز مدیریتی را به خاطر داشته باشد باید چه کاری انجام دهد ؟( فراموشی یک رمز )  ","ورود به برنامه امضای تجارت:  عملیات رمز -> رفع انسداد رمز کاربری  "
"در صورتیکه مشتری هم رمز کاربری  را فراموش کرده باشد و هم رمز مدیریتی را فراموش کرده باشد باید چه کاری انجام دهد   ؟( فراموشی هر دو  رمز )  "," ورود به برنامه امضای تجارت: انتخاب بازنشانی اولیه رمز "
"کاربرد رمز مدیریتی در برنامه امضای تجارت چیست ؟ ","در صورت فراموشی رمز کاربری ، تعیین رمز کاربری جدید را مهیا می سازد . "
"کاربرد راه اندازی توکن امضای دیجیتال همراه برروی گوشی موبایل چیست ؟","برنامه امضای تجارت این امکان را فراهم مینماید تا بتوان بدون نیاز به اتصال توکن به سیستم و تنها از طریق گوشی موبایل، فرآیندهای امضای دیجیتال و رمزنگاری را در سامانه های تحت وب انجام داد."
