question,answer
'در صورتی که تجارت کارت مفقود شود، نحوه ی مسدودی حساب در ساعات اداری چگونه است؟','شخص صاحب حساب همراه با کارت ملی خود به نزدیک ترین شعبه بانک تجارت مراجعه نموده و درخواست مسدود نمودن کارت خود را اعلام می نماید. همچنین مشتریان می توانند در صورت داشتن رمز های خدمات الکترونیکی، از طریق خدمات نوین (بانکداری اینترنتی، تلفنبانک و همراه بانک تجارت ) نیز حساب خود را مسدود نمایند.'
'در صورتی که تجارت کارت مفقود شود، نحوه ی مسدودی حساب در ساعات غیر اداری چگونه است؟','برای مسدود نمودن کارت در ساعات غیر اداری مشتریان می توانند با شماره 1554 تماس گرفته و با کارشناسان این مرکز ارتباط برقرار نمایند. همچنین می توانند از طریق خدمات نوین (بانکداری اینترنتی ، تلفنبانک و همراه بانک تجارت ) حساب خود را مسدود نمایند.'
'آیا صدور کارت برای حسابهای دفترچه ای امکان پذیر است؟','بله. در حال حاضرمشتریان با مراجعه به شعبه صادر کننده حساب می توانند درخواست صدور کارت بدهند.'
'آیا صدور کارت مجدد از طریق همه ی شعب امکان پذیر است؟','بله. مشتریان می توانند با همراه داشتن کارت ملی خود به هر یک از شعب بانک تجارت جهت دریافت کارت جدید مراجعه نمایند.'
'دریافت کد امنیتی کارت (CVV2) از چه روشی امکان پذیر است؟','کد CVV2 بر روی تجارت کارت درج شده است. درغیر این صورت مشتریان می بایست ضمن مراجعه به یکی از خودپردازهای بانک تجارت و انتخاب منوی سایرخدمات، گزینه تعیین رمز دوم اینترنتی ثابت، نسبت به تعریف یک رمز بین 5 تا 12 رقم اقدام نموده و سپس در رسید چاپی کد CVV2 و تاریخ انقضای کارت به مشتریان ارائه می شود.'
'دریافت رمز دوم اینترنتی کارت از چه روشی امکان پذیر است؟','مشتریان با مراجعه به یکی از خودپردازهای بانک تجارت، با انتخاب منوی سایرخدمات و گزینه تعیین رمز دوم اینترنتی، نسبت به تعریف یک رمز بین 5 تا 12 رقم می توانند اقدام کنند. همچنین به منظور فعالسازی رمز پویا باید به آدرس key.tejaratbank.ir مراجعه کنند.'
'درصورت فراموشی رمز کارت چه باید کرد؟','مشتریان جهت دریافت رمز جدید با همراه داشتن کارت ملی خود می توانند به یکی از شعب بانک تجارت مراجعه نمایند.'
'آیا با تعویض کارت رمز دوم کارت تغییر می کند؟','رمز دوم ثابت کارت تغییر می کند. در صورت تعویض کارت ضمن مراجعه به یکی از خودپردازهای تجارت، رمز دوم کارت خود را مجدداً تعریف کنید. ولی رمز دوم پویا تغییر نمی کند.'
'اقدام لازم جهت رفع مسدودی کارتهایی که در اثر ثبت اشتباه رمز از طریق خودپرداز یا کارتخوان های فروشگاهی مسدود شده اند چیست؟','در چنین شرایطی برای رفع مسدودی کارت مشتریان باید به یکی از شعب بانک تجارت مراجعه نمایند، تا ضمن دریافت رمز جدید، کارت را نیز مجدداً فعال نمایند .'
'اقدام لازم جهت رفع مسدودی کارتهایی که از طریق 1554 مسدود شده اند چیست؟','در چنین شرایطی برای رفع مسدودی کارت مشتریان باید به یکی از شعب بانک تجارت مراجعه نمایند، تا ضمن دریافت رمز جدید، کارت را نیز مجدداً فعال نمایند.'
'اعطای ابزار پرداخت فیزیکی (تجارت کارت) به کدام مشتریان امکان پذیر است؟','اعطای ابزار پرداخت فیزیکی (تجارت کارت) فقط برای حساب افراد بالاتر از 7 سال امکان پذیر است.'
'برای حساب مجانین و اشخاص غیر رسید بالاتر از 18 سال تمام اختصاص چه ابزار پرداختی امکان پذیر است؟','بانک برای این افراد صرفا مجاز به اعطای کارت پرداخت فیزیکی (تجارت کارت) است.'
'آیا کارت هدیه قابل شارژ می باشد؟','خیر. پس از استفاده از مبلغ کارت هدیه امکان شارژ مجدد آن وجود ندارد.'
'کارت هدیه با چه مبالغی صادر می گردد؟','کارت هدیه تا سقف 20 میلیون ریال به صورت آنی در تمامی شعب صادر می شود. همچنین کارت های هدیه برای مشتریان گروهی پس از انعقاد تفاهم نامه بین سازمان متبوعه و بانک تجارت در سایر مبالغ نیز صادر می شود.'
'آیا رمز دوم اینترنتی برای کارت هدیه صادر می گردد؟','بله. مشتریان با مراجعه به یکی از خودپردازهای بانک تجارت، انتخاب منوی سایرخدمات و گزینه تعیین رمز دوم اینترنتی ثابت، با تعریف یک رمز بین 5 تا 12 رقم می توانند نسبت به دریافت رمز دوم ثابت خود اقدام کنند.'
'اقدام لازم در صورت منقضی شدن کارت هدیه چیست؟','مشتریان می بایست به یکی از شعب بانک تجارت مراجعه نموده تا نسبت به دریافت وجه نقد معادل مبلغ کارت هدیه منقضی شده اقدام نمایند.'
