context,question,answer_text,answer_start
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,ساتنا,این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است,1
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,ساتنا چیست,این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است,1
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,زمانبندی ساتنا ,چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود.,33
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,ساعت 6 بعد ازظهر می خواهم از همراه بانک انتقال وجه دهم ولی ساتنا قطع شده است ؟,چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود.,33
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,از همراه بانک ساتنا انجام می دهم اما اعلام می کند ساتنا قطع است ؟,چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود.,33
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,کارمزد ساتنا,کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,160
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,سقف انتقال وجه ساتنا غیر حضوری, سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,سقف انتقال وجه ساتنا  از طریق  اینترنت  بانک , سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,سقف انتقال وجه ساتنا  از طریق  نت  بانک , سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
این سامانه به منظور انتقال وجه مبتنی بر حساب با مبالغ کلان در شبکه بانکی کشور ایجاد شده است. ساتنا جایگزینی برای چک های رمزدار بین بانکی است. چرخه زمانی عملیات ساتنا از طریق درگاه های غیر حضوری (موبایل بانک و اینترنت بانک) شنبه لغايت چهارشنبه (روزهاي کاری) از ساعت 7:30 تا 14:15 و در روزهای پنجشنبه از ساعت 7:30 تا 12:15 است و از طریق شعب تنها در ساعات اداری انجام می‌شود. سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. حداقل مبلغ قابل انتقال ساتنا از طریق شعبه 500 میلیون ریال و ارائه اسناد مثبته دال بر انجام معامله برای انجام تراکنش های بالای 2 میلیارد ریال اشخاص حقیقی و بالای 10 میلیارد ریال اشخاص حقوقی الزامی است. کارمزد ساتنا دو صدم درصد وجه انتقالی تا سقف 25 هزار تومان است. ,سقف انتقال وجه ساتنا  از طریق  موبایل بانک, سقف انتقال وجه ساتنا از طریق درگاه‌های غیر حضوری حداقل 500 میلیون ریال و حداکثر 1 میلیارد ریال است. ,96
